X(m), Y(m), Z(m), YAW(deg), BOX_X_RADIUS(m), BOX_Y_RADIUS(m), BOX_Z_RADIUS(m)
200.10, 50.30, 38.10, 180.0, 2.49658310, 0.97084373, 0.78984779
140,129,38.1,180,2.5,0.9708,0.789
140,129,38.1,180,2.5,0.9708,0.789
139,129,38.1,180,2.5,0.9708,0.789
139,129,38.1,180,2.5,0.9708,0.789
139,129,38.1,180,2.5,0.9708,0.789
138,129,38.1,180,2.5,0.9708,0.789
138,129,38.1,180,2.5,0.9708,0.789
138,129,38.1,180,2.5,0.9708,0.789
137,129,38.1,180,2.5,0.9708,0.789
137,129,38.1,180,2.5,0.9708,0.789
136,129,38.1,180,2.5,0.9708,0.789
136,129,38.1,180,2.5,0.9708,0.789
136,129,38.1,180,2.5,0.9708,0.789
135,129,38.1,180,2.5,0.9708,0.789
135,129,38.1,180,2.5,0.9708,0.789
135,129,38.1,180,2.5,0.9708,0.789
134,129,38.1,180,2.5,0.9708,0.789
134,129,38.1,180,2.5,0.9708,0.789
133,129,38.1,180,2.5,0.9708,0.789
133,129,38.1,180,2.5,0.9708,0.789
133,129,38.1,180,2.5,0.9708,0.789
132,129,38.1,180,2.5,0.9708,0.789
132,129,38.1,180,2.5,0.9708,0.789
131,129,38.1,180,2.5,0.9708,0.789
131,129,38.1,180,2.5,0.9708,0.789
131,129,38.1,180,2.5,0.9708,0.789
130,129,38.1,180,2.5,0.9708,0.789
130,129,38.1,180,2.5,0.9708,0.789
130,129,38.1,180,2.5,0.9708,0.789
129,129,38.1,180,2.5,0.9708,0.789
129,129,38.1,180,2.5,0.9708,0.789
128,129,38.1,180,2.5,0.9708,0.789
128,129,38.1,180,2.5,0.9708,0.789
128,129,38.1,180,2.5,0.9708,0.789
127,129,38.1,180,2.5,0.9708,0.789
127,129,38.1,180,2.5,0.9708,0.789
127,129,38.1,180,2.5,0.9708,0.789
126,129,38.1,180,2.5,0.9708,0.789
126,129,38.1,180,2.5,0.9708,0.789
125,129,38.1,180,2.5,0.9708,0.789
125,129,38.1,180,2.5,0.9708,0.789
125,129,38.1,180,2.5,0.9708,0.789
124,129,38.1,180,2.5,0.9708,0.789
124,129,38.1,180,2.5,0.9708,0.789
124,129,38.1,180,2.5,0.9708,0.789
123,129,38.1,180,2.5,0.9708,0.789
123,129,38.1,180,2.5,0.9708,0.789
122,129,38.1,180,2.5,0.9708,0.789
122,129,38.1,180,2.5,0.9708,0.789
122,129,38.1,180,2.5,0.9708,0.789
121,129,38.1,180,2.5,0.9708,0.789
121,129,38.1,180,2.5,0.9708,0.789
120,129,38.1,180,2.5,0.9708,0.789
120,129,38.1,180,2.5,0.9708,0.789
120,129,38.1,180,2.5,0.9708,0.789
119,129,38.1,180,2.5,0.9708,0.789
119,129,38.1,180,2.5,0.9708,0.789
119,129,38.1,180,2.5,0.9708,0.789
118,129,38.1,180,2.5,0.9708,0.789
118,129,38.1,180,2.5,0.9708,0.789
117,129,38.1,180,2.5,0.9708,0.789
117,129,38.1,180,2.5,0.9708,0.789
117,129,38.1,180,2.5,0.9708,0.789
116,129,38.1,180,2.5,0.9708,0.789
116,129,38.1,180,2.5,0.9708,0.789
115,129,38.1,180,2.5,0.9708,0.789
107,129,38.1,180,2.5,0.9708,0.789
107,129,38.1,180,2.5,0.9708,0.789
107,129,38.1,180,2.5,0.9708,0.789
107,129,38.1,180,2.5,0.9708,0.789
107,129,38.1,180,2.5,0.9708,0.789
107,129,38.1,180,2.5,0.9708,0.789
107,129,38.1,180,2.5,0.9708,0.789
106,129,38.1,180,2.5,0.9708,0.789
105,129,38.1,180,2.5,0.9708,0.789
105,129,38.1,180,2.5,0.9708,0.789
105,129,38.1,180,2.5,0.9708,0.789
105,129,38.1,180,2.5,0.9708,0.789
105,129,38.1,180,2.5,0.9708,0.789
105,129,38.1,180,2.5,0.9708,0.789
105,129,38.1,180,2.5,0.9708,0.789
105,129,38.1,180,2.5,0.9708,0.789
105,129,38.1,180,2.5,0.9708,0.789
105,129,38.1,180,2.5,0.9708,0.789
